time,cpu_request,memory_request,model,model_acc,processing_delay(s)
0.0,1731409353.6423087,500.0,500.0,0.0,37.3,4.5275654792785645
1.0,1731409357.362511,1000.0,500.0,1.0,44.9,3.138850212097168
2.0,1731409360.6947289,1500.0,500.0,0.0,37.3,2.852947473526001
3.0,1731409365.5850837,500.0,500.0,0.0,37.3,4.354718446731567
4.0,1731409369.3321178,1000.0,500.0,1.0,44.9,3.168095588684082
5.0,1731409372.7758818,1500.0,500.0,1.0,44.9,3.0792980194091797
0.0,1731409373.5065062,500.0,500.0,0.0,37.3,0.35271763801574707
1.0,1731409374.4274392,1000.0,500.0,1.0,44.9,0.4126410484313965
2.0,1731409374.8202314,1500.0,500.0,0.0,37.3,0.1462845802307129
3.0,1731409375.6731465,500.0,500.0,0.0,37.3,0.3966085910797119
4.0,1731409376.4704866,1000.0,500.0,1.0,44.9,0.4943232536315918
5.0,1731409377.316208,1500.0,500.0,1.0,44.9,0.43665361404418945
0.0,1731409378.3560305,500.0,500.0,0.0,37.3,0.34363627433776855
1.0,1731409379.3385417,1000.0,500.0,1.0,44.9,0.4017024040222168
2.0,1731409380.056177,1500.0,500.0,0.0,37.3,0.17362570762634277
3.0,1731409381.2955854,500.0,500.0,0.0,37.3,0.3731532096862793
4.0,1731409382.4147298,1000.0,500.0,1.0,44.9,0.5001163482666016
5.0,1731409383.2233713,1500.0,500.0,1.0,44.9,0.41420936584472656
0.0,1731409383.9624631,500.0,500.0,0.0,37.3,0.39464306831359863
1.0,1731409384.5796425,1000.0,500.0,1.0,44.9,0.3976609706878662
2.0,1731409384.9765708,1500.0,500.0,0.0,37.3,0.1402301788330078
3.0,1731409385.7655072,500.0,500.0,0.0,37.3,0.35110950469970703
4.0,1731409386.5033462,1000.0,500.0,1.0,44.9,0.48601865768432617
5.0,1731409387.2408922,1500.0,500.0,1.0,44.9,0.4247465133666992
0.0,1731409388.2161179,500.0,500.0,0.0,37.3,0.31922054290771484
1.0,1731409389.0375826,1000.0,500.0,1.0,44.9,0.40389037132263184
2.0,1731409389.7145386,1500.0,500.0,0.0,37.3,0.18333864212036133
3.0,1731409390.7372918,500.0,500.0,0.0,37.3,0.39597010612487793
4.0,1731409391.6250944,1000.0,500.0,1.0,44.9,0.4954097270965576
5.0,1731409392.6298661,1500.0,500.0,1.0,44.9,0.4219706058502197
0.0,1731409393.3991587,500.0,500.0,0.0,37.3,0.3283674716949463
1.0,1731409394.067009,1000.0,500.0,1.0,44.9,0.4066963195800781
2.0,1731409394.4102495,1500.0,500.0,0.0,37.3,0.17766618728637695
3.0,1731409395.420798,500.0,500.0,0.0,37.3,0.3508005142211914
4.0,1731409396.2416644,1000.0,500.0,1.0,44.9,0.48424220085144043
5.0,1731409397.3424103,1500.0,500.0,1.0,44.9,0.4247615337371826
