time,cpu_request,memory_request,model,model_acc,processing_delay(s)
1731668119.8062258,500.0,500.0,0.0,37.3,6.109096527099609
1731668123.0486672,1000.0,500.0,0.0,37.3,2.8479373455047607
1731668126.096944,1500.0,500.0,0.0,37.3,2.7610857486724854
1731668132.1636574,500.0,500.0,1.0,44.9,5.3497068881988525
1731668135.2108662,1000.0,500.0,1.0,44.9,2.695919990539551
1731668138.0612543,1500.0,500.0,0.0,37.3,2.5000736713409424
1731668138.7841268,500.0,500.0,0.0,37.3,0.42699599266052246
1731668139.1761928,1000.0,500.0,0.0,37.3,0.2298755645751953
1731668139.527534,1500.0,500.0,0.0,37.3,0.19727182388305664
1731668140.4842331,500.0,500.0,1.0,44.9,0.6689918041229248
1731668141.0121856,1000.0,500.0,1.0,44.9,0.3993227481842041
1731668141.3866222,1500.0,500.0,0.0,37.3,0.1409621238708496
1731668142.3824413,500.0,500.0,0.0,37.3,0.4817206859588623
1731668142.9282079,1000.0,500.0,0.0,37.3,0.22431063652038574
1731668143.5160813,1500.0,500.0,0.0,37.3,0.20450305938720703
1731668144.5991704,500.0,500.0,1.0,44.9,0.661858320236206
1731668145.2118616,1000.0,500.0,1.0,44.9,0.3428487777709961
1731668145.7234092,1500.0,500.0,0.0,37.3,0.12937307357788086
1731668146.2990468,500.0,500.0,0.0,37.3,0.3722343444824219
1731668146.7322955,1000.0,500.0,0.0,37.3,0.2770411968231201
1731668147.1814806,1500.0,500.0,0.0,37.3,0.20330095291137695
1731668147.9764652,500.0,500.0,1.0,44.9,0.6080172061920166
1731668148.4697502,1000.0,500.0,1.0,44.9,0.35500359535217285
1731668148.859202,1500.0,500.0,0.0,37.3,0.15358996391296387
1731668149.8236234,500.0,500.0,0.0,37.3,0.451448917388916
1731668150.4653523,1000.0,500.0,0.0,37.3,0.24522113800048828
1731668150.9476154,1500.0,500.0,0.0,37.3,0.20255160331726074
1731668152.1876674,500.0,500.0,1.0,44.9,0.7276580333709717
1731668152.8871472,1000.0,500.0,1.0,44.9,0.33439040184020996
1731668153.3517253,1500.0,500.0,0.0,37.3,0.13681316375732422
1731668154.0621774,500.0,500.0,0.0,37.3,0.4279606342315674
1731668154.4405832,1000.0,500.0,0.0,37.3,0.2247600555419922
1731668154.7975984,1500.0,500.0,0.0,37.3,0.2061612606048584
1731668155.687312,500.0,500.0,1.0,44.9,0.664064884185791
1731668156.1706014,1000.0,500.0,1.0,44.9,0.34156274795532227
1731668156.4380538,1500.0,500.0,0.0,37.3,0.12991571426391602
1731668157.4740887,500.0,500.0,0.0,37.3,0.4414970874786377
1731668158.0067334,1000.0,500.0,0.0,37.3,0.2343766689300537
1731668158.6174364,1500.0,500.0,0.0,37.3,0.20904946327209473
1731668159.8670032,500.0,500.0,1.0,44.9,0.656179666519165
1731668160.5683167,1000.0,500.0,1.0,44.9,0.3655729293823242
1731668161.0507867,1500.0,500.0,0.0,37.3,0.12674713134765625
1731668161.908872,500.0,500.0,0.0,37.3,0.3579676151275635
1731668162.2785473,1000.0,500.0,0.0,37.3,0.22361516952514648
1731668162.7245245,1500.0,500.0,0.0,37.3,0.19866156578063965
1731668163.586264,500.0,500.0,1.0,44.9,0.669938325881958
1731668164.113685,1000.0,500.0,1.0,44.9,0.33376526832580566
1731668164.4623256,1500.0,500.0,0.0,37.3,0.12363243103027344
1731668165.0099244,500.0,500.0,0.0,37.3,0.40720462799072266
1731668165.6780005,1000.0,500.0,0.0,37.3,0.2621176242828369
1731668166.1504807,1500.0,500.0,0.0,37.3,0.19899415969848633
1731668167.1840632,500.0,500.0,1.0,44.9,0.6236002445220947
1731668167.9812157,1000.0,500.0,1.0,44.9,0.35837769508361816
1731668168.4562562,1500.0,500.0,0.0,37.3,0.14647340774536133
1731668169.3913386,500.0,500.0,0.0,37.3,0.43077588081359863
1731668169.8865461,1000.0,500.0,0.0,37.3,0.23522353172302246
1731668170.2284944,1500.0,500.0,0.0,37.3,0.19598698616027832
1731668171.0615947,500.0,500.0,1.0,44.9,0.658538818359375
1731668171.6544397,1000.0,500.0,1.0,44.9,0.3751657009124756
1731668171.9181051,1500.0,500.0,0.0,37.3,0.1299571990966797
1731668172.6766584,500.0,500.0,0.0,37.3,0.38784360885620117
1731668173.1972132,1000.0,500.0,0.0,37.3,0.22342371940612793
1731668173.6665273,1500.0,500.0,0.0,37.3,0.19705653190612793
1731668174.9577713,500.0,500.0,1.0,44.9,0.7167975902557373
1731668175.6719122,1000.0,500.0,1.0,44.9,0.3598034381866455
1731668176.2644968,1500.0,500.0,0.0,37.3,0.14244771003723145
1731668179.8301349,500.0,500.0,0.0,37.3,0.414060115814209
1731668180.2174008,1000.0,500.0,0.0,37.3,0.23586654663085938
1731668180.6846135,1500.0,500.0,0.0,37.3,0.19862651824951172
1731668181.875368,500.0,500.0,1.0,44.9,0.6703248023986816
1731668182.3600132,1000.0,500.0,1.0,44.9,0.3418605327606201
1731668182.6369383,1500.0,500.0,0.0,37.3,0.13036179542541504
1731668183.3243024,500.0,500.0,0.0,37.3,0.4328775405883789
1731668183.8655045,1000.0,500.0,0.0,37.3,0.2318572998046875
1731668184.3092072,1500.0,500.0,0.0,37.3,0.20044279098510742
1731668185.093479,500.0,500.0,1.0,44.9,0.6516640186309814
1731668185.6732724,1000.0,500.0,1.0,44.9,0.3180396556854248
1731668186.24888,1500.0,500.0,0.0,37.3,0.14240479469299316
1731668187.195696,500.0,500.0,0.0,37.3,0.4488039016723633
1731668187.7598548,1000.0,500.0,0.0,37.3,0.25553464889526367
1731668188.3356462,1500.0,500.0,0.0,37.3,0.2050614356994629
1731668189.4941323,500.0,500.0,1.0,44.9,0.6636712551116943
1731668190.0986853,1000.0,500.0,1.0,44.9,0.3426947593688965
1731668190.579426,1500.0,500.0,0.0,37.3,0.12665104866027832
1731668191.1791408,500.0,500.0,0.0,37.3,0.40120720863342285
1731668191.565614,1000.0,500.0,0.0,37.3,0.24077868461608887
1731668192.0261068,1500.0,500.0,0.0,37.3,0.21369218826293945
1731668192.8843095,500.0,500.0,1.0,44.9,0.667994499206543
1731668193.4712334,1000.0,500.0,1.0,44.9,0.3387000560760498
1731668193.7334082,1500.0,500.0,0.0,37.3,0.13291072845458984
1731668194.6063042,500.0,500.0,0.0,37.3,0.3671693801879883
1731668195.2088609,1000.0,500.0,0.0,37.3,0.21326732635498047
1731668195.6932652,1500.0,500.0,0.0,37.3,0.20704865455627441
1731668197.0856526,500.0,500.0,1.0,44.9,0.6873838901519775
1731668197.6917593,1000.0,500.0,1.0,44.9,0.3450183868408203
1731668198.1124742,1500.0,500.0,0.0,37.3,0.14870929718017578
1731668198.7793586,500.0,500.0,0.0,37.3,0.3784058094024658
1731668199.1749651,1000.0,500.0,0.0,37.3,0.22119832038879395
1731668199.5159557,1500.0,500.0,0.0,37.3,0.19707083702087402
1731668200.3906045,500.0,500.0,1.0,44.9,0.6425590515136719
1731668200.8977537,1000.0,500.0,1.0,44.9,0.36972475051879883
1731668201.2754662,1500.0,500.0,0.0,37.3,0.151749849319458
1731668202.1944094,500.0,500.0,0.0,37.3,0.42543506622314453
1731668202.7681327,1000.0,500.0,0.0,37.3,0.2635781764984131
1731668203.3482919,1500.0,500.0,0.0,37.3,0.1950218677520752
1731668204.5749571,500.0,500.0,1.0,44.9,0.7268214225769043
1731668205.170228,1000.0,500.0,1.0,44.9,0.3350398540496826
1731668205.7576566,1500.0,500.0,0.0,37.3,0.1399543285369873
1731668206.3896809,500.0,500.0,0.0,37.3,0.42267704010009766
1731668206.7600317,1000.0,500.0,0.0,37.3,0.21830320358276367
1731668207.2061362,1500.0,500.0,0.0,37.3,0.1992509365081787
1731668208.001933,500.0,500.0,1.0,44.9,0.6618306636810303
1731668208.6021085,1000.0,500.0,1.0,44.9,0.3683018684387207
1731668208.8630419,1500.0,500.0,0.0,37.3,0.1376328468322754
1731668209.7873425,500.0,500.0,0.0,37.3,0.40715575218200684
1731668210.4405017,1000.0,500.0,0.0,37.3,0.24709582328796387
1731668210.9297206,1500.0,500.0,0.0,37.3,0.19621038436889648
1731668212.1852777,500.0,500.0,1.0,44.9,0.6735358238220215
1731668212.9835289,1000.0,500.0,1.0,44.9,0.3674581050872803
1731668213.3795476,1500.0,500.0,0.0,37.3,0.1259593963623047
