time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721324357.8857167,500m,183m,1000Mi,301Mi,medium
1721324360.938653,500m,183m,1000Mi,301Mi,medium
1721324363.9782355,500m,183m,1000Mi,301Mi,medium
1721324367.0153563,500m,183m,1000Mi,301Mi,medium
1721324370.1010392,500m,183m,1000Mi,301Mi,medium
1721324373.1427672,500m,183m,1000Mi,301Mi,medium
1721324376.1831613,500m,183m,1000Mi,301Mi,medium
1721324379.2712035,500m,183m,1000Mi,301Mi,medium
1721324382.3184154,500m,27m,1000Mi,313Mi,medium
1721324385.3583117,500m,27m,1000Mi,313Mi,medium
1721324388.4044771,500m,27m,1000Mi,313Mi,medium
1721324391.447601,500m,27m,1000Mi,313Mi,medium
1721324394.491668,500m,27m,1000Mi,313Mi,medium
1721324397.5303864,500m,27m,1000Mi,313Mi,medium
1721324400.566836,500m,27m,1000Mi,313Mi,medium
1721324403.6082704,500m,27m,1000Mi,313Mi,medium
1721324406.6518073,500m,27m,1000Mi,313Mi,medium
1721324409.7934122,500m,27m,1000Mi,313Mi,medium
1721324412.8342085,500m,477m,1000Mi,428Mi,medium
1721324415.8708503,500m,477m,1000Mi,428Mi,medium
1721324418.9158094,500m,477m,1000Mi,428Mi,medium
1721324421.956573,500m,477m,1000Mi,428Mi,medium
1721324425.017598,500m,477m,1000Mi,428Mi,medium
1721324428.4548647,500m,477m,1000Mi,428Mi,medium
1721324431.4996195,500m,477m,1000Mi,428Mi,medium
1721324434.5608053,500m,477m,1000Mi,428Mi,medium
1721324437.6067362,500m,477m,1000Mi,428Mi,medium
1721324440.6455047,500m,461m,1000Mi,429Mi,medium
1721324443.7080615,500m,461m,1000Mi,429Mi,medium
1721324446.747236,500m,461m,1000Mi,429Mi,medium
1721324449.8168662,500m,461m,1000Mi,429Mi,medium
1721324452.856754,500m,461m,1000Mi,429Mi,medium
1721324455.9039059,500m,461m,1000Mi,429Mi,medium
1721324458.964517,500m,461m,1000Mi,429Mi,medium
1721324462.0111055,500m,461m,1000Mi,429Mi,medium
1721324465.1178021,500m,461m,1000Mi,429Mi,medium
1721324468.1620739,500m,461m,1000Mi,429Mi,medium
1721324471.2091389,500m,462m,1000Mi,436Mi,medium
1721324474.2590346,500m,462m,1000Mi,436Mi,medium
1721324477.3134105,500m,462m,1000Mi,436Mi,medium
