time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721411093.5713437,500m,363m,1000Mi,207Mi,nano
1721411096.6453729,500m,363m,1000Mi,207Mi,nano
1721411099.6869214,500m,363m,1000Mi,207Mi,nano
1721411102.724739,500m,363m,1000Mi,207Mi,nano
1721411105.7695673,500m,363m,1000Mi,207Mi,nano
1721411108.8132176,500m,363m,1000Mi,207Mi,nano
1721411111.8556635,500m,363m,1000Mi,207Mi,nano
1721411114.899122,500m,10m,1000Mi,225Mi,nano
1721411117.9776266,500m,10m,1000Mi,225Mi,nano
1721411121.0183606,500m,10m,1000Mi,225Mi,nano
1721411124.0644972,500m,10m,1000Mi,225Mi,nano
1721411127.1098444,500m,10m,1000Mi,225Mi,nano
1721411130.1533806,500m,10m,1000Mi,225Mi,nano
1721411133.1960435,500m,10m,1000Mi,225Mi,nano
1721411136.2469265,500m,10m,1000Mi,225Mi,nano
1721411139.3428085,500m,10m,1000Mi,225Mi,nano
1721411142.385299,500m,10m,1000Mi,225Mi,nano
1721411145.416374,500m,426m,1000Mi,291Mi,nano
1721411148.4604182,500m,426m,1000Mi,291Mi,nano
1721411151.4951463,500m,426m,1000Mi,291Mi,nano
1721411154.5395098,500m,426m,1000Mi,291Mi,nano
1721411157.5877714,500m,426m,1000Mi,291Mi,nano
1721411160.6286643,500m,426m,1000Mi,291Mi,nano
1721411163.6688185,500m,426m,1000Mi,291Mi,nano
1721411166.721189,500m,426m,1000Mi,291Mi,nano
1721411169.7589037,500m,426m,1000Mi,291Mi,nano
1721411172.804727,500m,426m,1000Mi,291Mi,nano
1721411175.8466885,500m,374m,1000Mi,290Mi,nano
1721411178.926392,500m,374m,1000Mi,290Mi,nano
1721411181.9785757,500m,374m,1000Mi,290Mi,nano
1721411185.0309262,500m,374m,1000Mi,290Mi,nano
1721411188.1033542,500m,374m,1000Mi,290Mi,nano
1721411191.1494575,500m,374m,1000Mi,290Mi,nano
1721411194.1871002,500m,374m,1000Mi,290Mi,nano
1721411197.2281113,500m,374m,1000Mi,290Mi,nano
1721411200.419116,500m,374m,1000Mi,290Mi,nano
1721411203.4752169,500m,374m,1000Mi,290Mi,nano
1721411206.51781,500m,412m,1000Mi,282Mi,nano
1721411209.5589623,500m,412m,1000Mi,282Mi,nano
1721411212.6593604,500m,412m,1000Mi,282Mi,nano
1721411215.7031133,500m,412m,1000Mi,282Mi,nano
1721411218.7419004,500m,412m,1000Mi,282Mi,nano
1721411221.7829404,500m,412m,1000Mi,282Mi,nano
1721411224.833937,500m,412m,1000Mi,282Mi,nano
1721411227.8772202,500m,412m,1000Mi,282Mi,nano
1721411230.9729702,500m,412m,1000Mi,282Mi,nano
1721411234.0142226,500m,291m,1000Mi,281Mi,nano
1721411237.0574782,500m,291m,1000Mi,281Mi,nano
1721411240.097888,500m,291m,1000Mi,281Mi,nano
1721411243.1402962,500m,291m,1000Mi,281Mi,nano
1721411246.197084,500m,291m,1000Mi,281Mi,nano
1721411249.2464888,500m,291m,1000Mi,281Mi,nano
1721411252.373863,500m,291m,1000Mi,281Mi,nano
1721411255.4179924,500m,291m,1000Mi,281Mi,nano
1721411258.4801764,500m,291m,1000Mi,281Mi,nano
1721411261.6938775,500m,291m,1000Mi,281Mi,nano
1721411264.8060558,500m,176m,1000Mi,281Mi,nano
1721411267.847531,500m,176m,1000Mi,281Mi,nano
1721411270.8863614,500m,176m,1000Mi,281Mi,nano
1721411273.9282906,500m,176m,1000Mi,281Mi,nano
1721411276.9626563,500m,176m,1000Mi,281Mi,nano
1721411279.9972332,500m,176m,1000Mi,281Mi,nano
1721411283.0404902,500m,176m,1000Mi,281Mi,nano
1721411286.0961235,500m,176m,1000Mi,281Mi,nano
1721411289.1379497,500m,176m,1000Mi,281Mi,nano
1721411292.1779015,500m,176m,1000Mi,281Mi,nano
1721411295.2206893,500m,291m,1000Mi,295Mi,nano
1721411298.2688735,500m,291m,1000Mi,295Mi,nano
1721411301.304131,500m,291m,1000Mi,295Mi,nano
1721411304.3463717,500m,291m,1000Mi,295Mi,nano
1721411307.3903425,500m,291m,1000Mi,295Mi,nano
1721411310.4735556,500m,291m,1000Mi,295Mi,nano
1721411313.5135427,500m,291m,1000Mi,295Mi,nano
1721411316.5578778,500m,291m,1000Mi,295Mi,nano
1721411319.6028109,500m,291m,1000Mi,295Mi,nano
1721411322.652652,500m,291m,1000Mi,295Mi,nano
1721411325.7042868,500m,377m,1000Mi,299Mi,nano
1721411328.740551,500m,377m,1000Mi,299Mi,nano
1721411331.780535,500m,377m,1000Mi,299Mi,nano
1721411334.875381,500m,377m,1000Mi,299Mi,nano
1721411337.9139955,500m,377m,1000Mi,299Mi,nano
1721411340.9616241,500m,377m,1000Mi,299Mi,nano
1721411344.0073845,500m,377m,1000Mi,299Mi,nano
1721411347.0573921,500m,377m,1000Mi,299Mi,nano
1721411350.1515214,500m,377m,1000Mi,299Mi,nano
1721411353.1955352,500m,377m,1000Mi,299Mi,nano
1721411356.2455401,500m,368m,1000Mi,298Mi,nano
1721411359.2960563,500m,368m,1000Mi,298Mi,nano
1721411362.342978,500m,368m,1000Mi,298Mi,nano
1721411365.4578857,500m,368m,1000Mi,298Mi,nano
1721411368.4998772,500m,368m,1000Mi,298Mi,nano
1721411371.5488894,500m,368m,1000Mi,298Mi,nano
1721411374.5847297,500m,368m,1000Mi,298Mi,nano
