time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721411093.57134,500m,363m,1000Mi,207Mi,nano,37.3,4696.69842720032
1721411096.64537,500m,363m,1000Mi,207Mi,nano,37.3,369.429111480713
1721411099.68692,500m,363m,1000Mi,207Mi,nano,37.3,427.781105041504
1721411102.72474,500m,363m,1000Mi,207Mi,nano,37.3,391.561508178711
1721411105.76957,500m,363m,1000Mi,207Mi,nano,37.3,401.158094406128
1721411108.81322,500m,363m,1000Mi,207Mi,nano,37.3,331.206321716309
1721411111.85566,500m,363m,1000Mi,207Mi,nano,37.3,362.243175506592
1721411114.89912,500m,10m,1000Mi,225Mi,nano,37.3,417.20461845398
1721411117.97763,500m,10m,1000Mi,225Mi,nano,37.3,348.979711532593
1721411121.01836,500m,10m,1000Mi,225Mi,nano,37.3,385.050058364868
1721411124.0645,500m,10m,1000Mi,225Mi,nano,37.3,419.949769973755
1721411127.10984,500m,10m,1000Mi,225Mi,nano,37.3,423.210620880127
1721411130.15338,500m,10m,1000Mi,225Mi,nano,37.3,371.55294418335
1721411133.19604,500m,10m,1000Mi,225Mi,nano,37.3,354.440450668335
1721411136.24693,500m,10m,1000Mi,225Mi,nano,37.3,339.732646942139
1721411139.34281,500m,10m,1000Mi,225Mi,nano,37.3,365.188837051392
1721411142.3853,500m,10m,1000Mi,225Mi,nano,37.3,369.550704956055
1721411145.41637,500m,426m,1000Mi,291Mi,nano,37.3,359.438896179199
1721411148.46042,500m,426m,1000Mi,291Mi,nano,37.3,351.738452911377
1721411151.49515,500m,426m,1000Mi,291Mi,nano,37.3,401.020288467407
1721411154.53951,500m,426m,1000Mi,291Mi,nano,37.3,408.169746398926
1721411157.58777,500m,426m,1000Mi,291Mi,nano,37.3,392.028570175171
1721411160.62866,500m,426m,1000Mi,291Mi,nano,37.3,365.151166915894
1721411163.66882,500m,426m,1000Mi,291Mi,nano,37.3,395.215749740601
1721411166.72119,500m,426m,1000Mi,291Mi,nano,37.3,381.219625473022
1721411169.7589,500m,426m,1000Mi,291Mi,nano,37.3,410.958051681519
1721411172.80473,500m,426m,1000Mi,291Mi,nano,37.3,402.365446090698
1721411175.84669,500m,374m,1000Mi,290Mi,nano,37.3,306.439638137817
1721411178.92639,500m,374m,1000Mi,290Mi,nano,37.3,362.857580184937
1721411181.97858,500m,374m,1000Mi,290Mi,nano,37.3,399.237632751465
1721411185.03093,500m,374m,1000Mi,290Mi,nano,37.3,308.552026748657
1721411188.10335,500m,374m,1000Mi,290Mi,nano,37.3,370.513200759888
1721411191.14946,500m,374m,1000Mi,290Mi,nano,37.3,380.04469871521
1721411194.1871,500m,374m,1000Mi,290Mi,nano,37.3,352.102518081665
1721411197.22811,500m,374m,1000Mi,290Mi,nano,37.3,364.068984985352
1721411200.41912,500m,374m,1000Mi,290Mi,nano,37.3,375.688552856445
1721411203.47522,500m,374m,1000Mi,290Mi,nano,37.3,366.172552108765
1721411206.51781,500m,412m,1000Mi,282Mi,nano,37.3,361.040115356445
1721411209.55896,500m,412m,1000Mi,282Mi,nano,37.3,396.838665008545
1721411212.65936,500m,412m,1000Mi,282Mi,nano,37.3,385.113716125488
1721411215.70311,500m,412m,1000Mi,282Mi,nano,37.3,363.346576690674
1721411218.7419,500m,412m,1000Mi,282Mi,nano,37.3,366.492033004761
1721411221.78294,500m,412m,1000Mi,282Mi,nano,37.3,360.958099365234
1721411224.83394,500m,412m,1000Mi,282Mi,nano,37.3,362.346887588501
1721411227.87722,500m,412m,1000Mi,282Mi,nano,37.3,358.75391960144
1721411230.97297,500m,412m,1000Mi,282Mi,nano,37.3,360.278367996216
1721411234.01422,500m,291m,1000Mi,281Mi,nano,37.3,389.327049255371
1721411237.05748,500m,291m,1000Mi,281Mi,nano,37.3,369.898796081543
1721411240.09789,500m,291m,1000Mi,281Mi,nano,37.3,369.540929794312
1721411243.1403,500m,291m,1000Mi,281Mi,nano,37.3,416.35799407959
1721411246.19708,500m,291m,1000Mi,281Mi,nano,37.3,356.844663619995
1721411249.24649,500m,291m,1000Mi,281Mi,nano,37.3,412.999153137207
1721411252.37386,500m,291m,1000Mi,281Mi,nano,37.3,409.88826751709
