time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721414652.21478,1000m,324m,1000Mi,199Mi,nano
1721414655.25927,1000m,0m,1000Mi,199Mi,nano
1721414658.30362,1000m,0m,1000Mi,199Mi,nano
1721414661.34732,1000m,0m,1000Mi,199Mi,nano
1721414664.48259,1000m,0m,1000Mi,199Mi,nano
1721414667.52335,1000m,0m,1000Mi,199Mi,nano
1721414670.56647,1000m,0m,1000Mi,199Mi,nano
1721414673.60763,1000m,0m,1000Mi,199Mi,nano
1721414676.65649,1000m,0m,1000Mi,199Mi,nano
1721414679.69344,1000m,0m,1000Mi,199Mi,nano
1721414682.73556,1000m,0m,1000Mi,199Mi,nano
1721414685.78311,1000m,301m,1000Mi,269Mi,nano
1721414688.82968,1000m,301m,1000Mi,269Mi,nano
1721414691.87457,1000m,301m,1000Mi,269Mi,nano
1721414694.91866,1000m,301m,1000Mi,269Mi,nano
1721414697.95467,1000m,301m,1000Mi,269Mi,nano
1721414701.05269,1000m,301m,1000Mi,269Mi,nano
1721414704.09488,1000m,301m,1000Mi,269Mi,nano
1721414707.13494,1000m,301m,1000Mi,269Mi,nano
1721414710.17945,1000m,301m,1000Mi,269Mi,nano
1721414713.22561,1000m,301m,1000Mi,269Mi,nano
1721414716.26562,1000m,285m,1000Mi,279Mi,nano
1721414719.30784,1000m,285m,1000Mi,279Mi,nano
1721414722.34439,1000m,285m,1000Mi,279Mi,nano
1721414725.51463,1000m,285m,1000Mi,279Mi,nano
1721414728.58091,1000m,285m,1000Mi,279Mi,nano
1721414731.62436,1000m,285m,1000Mi,279Mi,nano
1721414734.66946,1000m,285m,1000Mi,279Mi,nano
1721414737.71277,1000m,285m,1000Mi,279Mi,nano
1721414740.75355,1000m,285m,1000Mi,279Mi,nano
1721414743.79911,1000m,285m,1000Mi,279Mi,nano
1721414746.84108,1000m,457m,1000Mi,270Mi,nano
1721414749.88876,1000m,457m,1000Mi,270Mi,nano
1721414752.92776,1000m,457m,1000Mi,270Mi,nano
1721414755.96868,1000m,457m,1000Mi,270Mi,nano
1721414759.00385,1000m,457m,1000Mi,270Mi,nano
1721414762.08856,1000m,457m,1000Mi,270Mi,nano
1721414765.1293,1000m,457m,1000Mi,270Mi,nano
1721414768.16654,1000m,457m,1000Mi,270Mi,nano
1721414771.25242,1000m,457m,1000Mi,270Mi,nano
1721414774.29893,1000m,366m,1000Mi,269Mi,nano
1721414777.34255,1000m,366m,1000Mi,269Mi,nano
1721414780.38182,1000m,366m,1000Mi,269Mi,nano
1721414783.42559,1000m,366m,1000Mi,269Mi,nano
1721414786.46759,1000m,366m,1000Mi,269Mi,nano
1721414789.50704,1000m,366m,1000Mi,269Mi,nano
1721414792.72203,1000m,366m,1000Mi,269Mi,nano
1721414795.76794,1000m,366m,1000Mi,269Mi,nano
1721414798.81912,1000m,366m,1000Mi,269Mi,nano
1721414801.86644,1000m,366m,1000Mi,269Mi,nano
1721414804.90949,1000m,386m,1000Mi,273Mi,nano
1721414807.94311,1000m,386m,1000Mi,273Mi,nano
1721414810.99357,1000m,386m,1000Mi,273Mi,nano
1721414814.02869,1000m,386m,1000Mi,273Mi,nano
1721414817.0675,1000m,386m,1000Mi,273Mi,nano
1721414820.1082,1000m,386m,1000Mi,273Mi,nano
1721414823.29605,1000m,386m,1000Mi,273Mi,nano
1721414826.33897,1000m,386m,1000Mi,273Mi,nano
1721414829.37737,1000m,386m,1000Mi,273Mi,nano
1721414832.41927,1000m,386m,1000Mi,273Mi,nano
1721414835.46217,1000m,447m,1000Mi,280Mi,nano
1721414838.50797,1000m,447m,1000Mi,280Mi,nano
1721414841.55053,1000m,447m,1000Mi,280Mi,nano
1721414844.60366,1000m,447m,1000Mi,280Mi,nano
1721414847.66771,1000m,447m,1000Mi,280Mi,nano
1721414850.71369,1000m,447m,1000Mi,280Mi,nano
1721414853.76237,1000m,447m,1000Mi,280Mi,nano
1721414856.80172,1000m,447m,1000Mi,280Mi,nano
1721414859.88394,1000m,447m,1000Mi,280Mi,nano
1721414862.92652,1000m,447m,1000Mi,280Mi,nano
1721414865.97009,1000m,170m,1000Mi,273Mi,nano
1721414869.01169,1000m,170m,1000Mi,273Mi,nano
1721414872.065,1000m,170m,1000Mi,273Mi,nano
1721414875.10202,1000m,170m,1000Mi,273Mi,nano
1721414878.14509,1000m,170m,1000Mi,273Mi,nano
1721414881.1802,1000m,170m,1000Mi,273Mi,nano
1721414884.2309,1000m,170m,1000Mi,273Mi,nano
1721414887.28108,1000m,170m,1000Mi,273Mi,nano
1721414890.31759,1000m,170m,1000Mi,273Mi,nano
1721414893.36198,1000m,170m,1000Mi,273Mi,nano
1721414896.40462,1000m,316m,1000Mi,279Mi,nano
1721414899.44884,1000m,316m,1000Mi,279Mi,nano
1721414902.4902,1000m,316m,1000Mi,279Mi,nano
1721414905.55122,1000m,316m,1000Mi,279Mi,nano
1721414908.61873,1000m,316m,1000Mi,279Mi,nano
1721414911.66013,1000m,316m,1000Mi,279Mi,nano
1721414914.70146,1000m,316m,1000Mi,279Mi,nano
1721414917.74402,1000m,316m,1000Mi,279Mi,nano
1721414920.82821,1000m,316m,1000Mi,279Mi,nano
1721414923.86951,1000m,316m,1000Mi,279Mi,nano
1721414926.90767,1000m,254m,1000Mi,273Mi,nano
1721414929.94879,1000m,254m,1000Mi,273Mi,nano
1721414932.99994,1000m,254m,1000Mi,273Mi,nano
1721414936.04065,1000m,254m,1000Mi,273Mi,nano
1721414939.0839,1000m,254m,1000Mi,273Mi,nano
1721414942.12531,1000m,254m,1000Mi,273Mi,nano
1721414945.24273,1000m,254m,1000Mi,273Mi,nano
1721414948.28232,1000m,254m,1000Mi,273Mi,nano
1721414951.3569,1000m,254m,1000Mi,273Mi,nano
1721414954.40019,1000m,457m,1000Mi,283Mi,nano
1721414957.44097,1000m,457m,1000Mi,283Mi,nano
1721414960.47934,1000m,457m,1000Mi,283Mi,nano
1721414963.522,1000m,457m,1000Mi,283Mi,nano
1721414966.57045,1000m,457m,1000Mi,283Mi,nano
1721414969.67648,1000m,457m,1000Mi,283Mi,nano
1721414972.72442,1000m,457m,1000Mi,283Mi,nano
1721414975.76201,1000m,457m,1000Mi,283Mi,nano
1721414978.79689,1000m,457m,1000Mi,283Mi,nano
1721414981.87692,1000m,457m,1000Mi,283Mi,nano
1721414984.91366,1000m,589m,1000Mi,274Mi,nano
1721414987.95178,1000m,589m,1000Mi,274Mi,nano
1721414990.98621,1000m,589m,1000Mi,274Mi,nano
1721414994.02962,1000m,589m,1000Mi,274Mi,nano
1721414997.07011,1000m,589m,1000Mi,274Mi,nano
1721415000.11371,1000m,589m,1000Mi,274Mi,nano
1721415003.16035,1000m,589m,1000Mi,274Mi,nano
1721415006.2013,1000m,589m,1000Mi,274Mi,nano
1721415009.25043,1000m,589m,1000Mi,274Mi,nano
1721415012.29043,1000m,589m,1000Mi,274Mi,nano
1721415015.33008,1000m,613m,1000Mi,280Mi,nano
1721415018.37561,1000m,613m,1000Mi,280Mi,nano
1721415021.41641,1000m,613m,1000Mi,280Mi,nano
1721415024.45716,1000m,613m,1000Mi,280Mi,nano
1721415027.50075,1000m,613m,1000Mi,280Mi,nano
1721415030.72102,1000m,613m,1000Mi,280Mi,nano
1721415033.76186,1000m,613m,1000Mi,280Mi,nano
1721415036.80479,1000m,613m,1000Mi,280Mi,nano
1721415039.85061,1000m,613m,1000Mi,280Mi,nano
1721415042.89389,1000m,613m,1000Mi,280Mi,nano
1721415045.93213,1000m,603m,1000Mi,274Mi,nano
1721415048.97004,1000m,603m,1000Mi,274Mi,nano
1721415052.01662,1000m,603m,1000Mi,274Mi,nano
1721415055.05942,1000m,603m,1000Mi,274Mi,nano
