time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721321784.38071,1000m,251m,1000Mi,236Mi,small
1721321787.4172,1000m,251m,1000Mi,236Mi,small
1721321790.45022,1000m,251m,1000Mi,236Mi,small
1721321793.49273,1000m,251m,1000Mi,236Mi,small
1721321796.53496,1000m,251m,1000Mi,236Mi,small
1721321799.57801,1000m,251m,1000Mi,236Mi,small
1721321802.6106,1000m,1000m,1000Mi,237Mi,small
1721321805.70307,1000m,1000m,1000Mi,237Mi,small
1721321808.75267,1000m,1000m,1000Mi,237Mi,small
1721321811.78713,1000m,1000m,1000Mi,237Mi,small
1721321814.84449,1000m,1000m,1000Mi,237Mi,small
1721321817.88075,1000m,1000m,1000Mi,237Mi,small
1721321820.91939,1000m,1000m,1000Mi,237Mi,small
1721321823.9566,1000m,1000m,1000Mi,237Mi,small
1721321826.99146,1000m,1000m,1000Mi,237Mi,small
1721321830.19802,1000m,1000m,1000Mi,237Mi,small
1721321833.23215,1000m,789m,1000Mi,354Mi,small
1721321836.26724,1000m,789m,1000Mi,354Mi,small
1721321839.33918,1000m,789m,1000Mi,354Mi,small
1721321842.38076,1000m,789m,1000Mi,354Mi,small
1721321845.41485,1000m,789m,1000Mi,354Mi,small
1721321848.4525,1000m,789m,1000Mi,354Mi,small
1721321851.49229,1000m,789m,1000Mi,354Mi,small
1721321854.58505,1000m,789m,1000Mi,354Mi,small
1721321857.62679,1000m,789m,1000Mi,354Mi,small
1721321860.67131,1000m,726m,1000Mi,348Mi,small
1721321863.71185,1000m,726m,1000Mi,348Mi,small
1721321866.76201,1000m,726m,1000Mi,348Mi,small
1721321869.8421,1000m,726m,1000Mi,348Mi,small
1721321872.9084,1000m,726m,1000Mi,348Mi,small
1721321875.94557,1000m,726m,1000Mi,348Mi,small
1721321878.98532,1000m,726m,1000Mi,348Mi,small
1721321882.02053,1000m,726m,1000Mi,348Mi,small
1721321885.06032,1000m,726m,1000Mi,348Mi,small
1721321888.093,1000m,726m,1000Mi,348Mi,small
1721321891.13977,1000m,593m,1000Mi,347Mi,small
1721321894.17153,1000m,593m,1000Mi,347Mi,small
1721321897.21079,1000m,593m,1000Mi,347Mi,small
1721321900.25456,1000m,593m,1000Mi,347Mi,small
1721321903.30102,1000m,593m,1000Mi,347Mi,small
1721321906.34372,1000m,593m,1000Mi,347Mi,small
1721321909.40315,1000m,593m,1000Mi,347Mi,small
1721321912.44556,1000m,593m,1000Mi,347Mi,small
1721321915.49177,1000m,593m,1000Mi,347Mi,small
1721321918.53255,1000m,593m,1000Mi,347Mi,small
1721321921.57585,1000m,580m,1000Mi,347Mi,small
1721321924.61968,1000m,580m,1000Mi,347Mi,small
1721321927.71539,1000m,580m,1000Mi,347Mi,small
1721321930.75676,1000m,580m,1000Mi,347Mi,small
1721321933.7969,1000m,580m,1000Mi,347Mi,small
1721321936.84724,1000m,580m,1000Mi,347Mi,small
1721321939.88999,1000m,580m,1000Mi,347Mi,small
1721321942.93218,1000m,580m,1000Mi,347Mi,small
1721321946.03039,1000m,580m,1000Mi,347Mi,small
1721321949.06437,1000m,580m,1000Mi,347Mi,small
1721321952.09964,1000m,256m,1000Mi,347Mi,small
1721321955.16465,1000m,256m,1000Mi,347Mi,small
1721321958.2063,1000m,256m,1000Mi,347Mi,small
1721321961.24087,1000m,256m,1000Mi,347Mi,small
1721321964.28424,1000m,256m,1000Mi,347Mi,small
1721321967.32536,1000m,256m,1000Mi,347Mi,small
1721321970.36093,1000m,256m,1000Mi,347Mi,small
1721321973.40145,1000m,256m,1000Mi,347Mi,small
1721321976.44445,1000m,256m,1000Mi,347Mi,small
1721321979.48463,1000m,256m,1000Mi,347Mi,small
1721321982.52318,1000m,547m,1000Mi,349Mi,small
1721321985.56526,1000m,547m,1000Mi,349Mi,small
1721321988.60769,1000m,547m,1000Mi,349Mi,small
1721321991.6465,1000m,547m,1000Mi,349Mi,small
1721321994.69147,1000m,547m,1000Mi,349Mi,small
1721321997.79571,1000m,547m,1000Mi,349Mi,small
1721322000.84456,1000m,547m,1000Mi,349Mi,small
1721322003.88608,1000m,547m,1000Mi,349Mi,small
1721322006.9284,1000m,547m,1000Mi,349Mi,small
1721322009.97578,1000m,547m,1000Mi,349Mi,small
1721322013.01534,1000m,592m,1000Mi,345Mi,small
1721322016.05505,1000m,592m,1000Mi,345Mi,small
1721322019.09372,1000m,592m,1000Mi,345Mi,small
1721322022.14095,1000m,592m,1000Mi,345Mi,small
1721322025.1849,1000m,592m,1000Mi,345Mi,small
1721322028.23734,1000m,592m,1000Mi,345Mi,small
1721322031.27839,1000m,592m,1000Mi,345Mi,small
1721322034.53647,1000m,592m,1000Mi,345Mi,small
1721322037.57968,1000m,592m,1000Mi,345Mi,small
1721322040.6246,1000m,592m,1000Mi,345Mi,small
1721322043.70335,1000m,603m,1000Mi,349Mi,small
1721322046.75216,1000m,603m,1000Mi,349Mi,small
1721322049.85419,1000m,603m,1000Mi,349Mi,small
1721322052.90489,1000m,603m,1000Mi,349Mi,small
1721322055.96449,1000m,603m,1000Mi,349Mi,small
1721322059.00365,1000m,603m,1000Mi,349Mi,small
1721322062.04627,1000m,603m,1000Mi,349Mi,small
1721322065.09206,1000m,603m,1000Mi,349Mi,small
1721322068.12584,1000m,603m,1000Mi,349Mi,small
1721322071.1754,1000m,643m,1000Mi,349Mi,small
1721322074.21163,1000m,643m,1000Mi,349Mi,small
1721322077.25588,1000m,643m,1000Mi,349Mi,small
