time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721422905.79588,500m,300m,1000Mi,236Mi,small,44.9,5486.49048805237
1721422909.12757,500m,300m,1000Mi,236Mi,small,44.9,851.314544677734
1721422912.16534,500m,300m,1000Mi,236Mi,small,44.9,826.518297195435
1721422915.20142,500m,300m,1000Mi,236Mi,small,44.9,841.541290283203
1721422918.23967,500m,300m,1000Mi,236Mi,small,44.9,875.872135162354
1721422921.37704,500m,300m,1000Mi,236Mi,small,44.9,804.275751113892
1721422924.4165,500m,300m,1000Mi,236Mi,small,44.9,846.836566925049
1721422927.47198,500m,300m,1000Mi,236Mi,small,44.9,835.44921875
1721422930.59665,500m,300m,1000Mi,236Mi,small,44.9,851.542472839356
1721422933.63428,500m,300m,1000Mi,236Mi,small,44.9,822.151899337769
1721422936.80239,500m,38m,1000Mi,278Mi,small,44.9,848.257780075073
1721422939.84573,500m,38m,1000Mi,278Mi,small,44.9,849.337577819824
1721422943.0461,500m,38m,1000Mi,278Mi,small,44.9,863.138914108276
1721422946.12226,500m,38m,1000Mi,278Mi,small,44.9,857.888460159302
1721422949.1641,500m,38m,1000Mi,278Mi,small,44.9,895.191192626953
1721422952.20112,500m,38m,1000Mi,278Mi,small,44.9,851.56512260437
1721422955.37568,500m,38m,1000Mi,278Mi,small,44.9,904.680013656616
1721422958.43486,500m,38m,1000Mi,278Mi,small,44.9,1023.10562133789
1721422961.58283,500m,38m,1000Mi,278Mi,small,44.9,854.526281356812
1721422964.62559,500m,411m,1000Mi,0Mi,small,44.9,877.727508544922
1721422967.6672,500m,411m,1000Mi,0Mi,small,44.9,854.207515716553
1721422970.70277,500m,411m,1000Mi,0Mi,small,44.9,849.182844161987
1721422973.74053,500m,411m,1000Mi,0Mi,small,44.9,898.674011230469
1721422976.84896,500m,411m,1000Mi,0Mi,small,44.9,790.499687194824
1721422980.26672,500m,411m,1000Mi,0Mi,small,44.9,822.001695632935
1721422983.4569,500m,411m,1000Mi,0Mi,small,44.9,877.647876739502
1721422986.49262,500m,411m,1000Mi,0Mi,small,44.9,899.246692657471
1721422989.53194,500m,411m,1000Mi,0Mi,small,44.9,793.08557510376
1721422992.5846,500m,411m,1000Mi,0Mi,small,44.9,878.756523132324
