time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721422905.7958798,500m,300m,1000Mi,236Mi,small
1721422909.127572,500m,300m,1000Mi,236Mi,small
1721422912.165344,500m,300m,1000Mi,236Mi,small
1721422915.2014182,500m,300m,1000Mi,236Mi,small
1721422918.2396703,500m,300m,1000Mi,236Mi,small
1721422921.377043,500m,300m,1000Mi,236Mi,small
1721422924.4165013,500m,300m,1000Mi,236Mi,small
1721422927.471976,500m,300m,1000Mi,236Mi,small
1721422930.5966487,500m,300m,1000Mi,236Mi,small
1721422933.634276,500m,300m,1000Mi,236Mi,small
1721422936.8023868,500m,38m,1000Mi,278Mi,small
1721422939.8457284,500m,38m,1000Mi,278Mi,small
1721422943.0460966,500m,38m,1000Mi,278Mi,small
1721422946.122262,500m,38m,1000Mi,278Mi,small
1721422949.1640997,500m,38m,1000Mi,278Mi,small
1721422952.2011244,500m,38m,1000Mi,278Mi,small
1721422955.3756788,500m,38m,1000Mi,278Mi,small
1721422958.4348638,500m,38m,1000Mi,278Mi,small
1721422961.5828266,500m,38m,1000Mi,278Mi,small
1721422964.6255913,500m,411m,1000Mi,0Mi,small
1721422967.6672037,500m,411m,1000Mi,0Mi,small
1721422970.702765,500m,411m,1000Mi,0Mi,small
1721422973.7405307,500m,411m,1000Mi,0Mi,small
1721422976.8489587,500m,411m,1000Mi,0Mi,small
1721422980.2667217,500m,411m,1000Mi,0Mi,small
1721422983.456903,500m,411m,1000Mi,0Mi,small
1721422986.49262,500m,411m,1000Mi,0Mi,small
1721422989.5319362,500m,411m,1000Mi,0Mi,small
1721422992.5845952,500m,411m,1000Mi,0Mi,small
1721422995.7002106,500m,399m,1000Mi,347Mi,small
1721422999.3483179,500m,399m,1000Mi,347Mi,small
1721423002.3935874,500m,399m,1000Mi,347Mi,small
1721423005.671398,500m,399m,1000Mi,347Mi,small
1721423008.7263515,500m,399m,1000Mi,347Mi,small
1721423011.7673528,500m,399m,1000Mi,347Mi,small
1721423014.8026347,500m,399m,1000Mi,347Mi,small
1721423017.8413246,500m,399m,1000Mi,347Mi,small
1721423020.886811,500m,399m,1000Mi,347Mi,small
1721423023.9264436,500m,399m,1000Mi,347Mi,small
1721423026.9706974,500m,400m,1000Mi,346Mi,small
1721423030.0597036,500m,400m,1000Mi,346Mi,small
1721423033.105196,500m,400m,1000Mi,346Mi,small
1721423036.8180008,500m,400m,1000Mi,346Mi,small
1721423039.8774025,500m,400m,1000Mi,346Mi,small
1721423042.914538,500m,400m,1000Mi,346Mi,small
1721423045.99073,500m,400m,1000Mi,346Mi,small
1721423049.029446,500m,400m,1000Mi,346Mi,small
1721423052.0677578,500m,400m,1000Mi,346Mi,small
1721423055.1830986,500m,402m,1000Mi,346Mi,small
1721423058.500648,500m,402m,1000Mi,346Mi,small
1721423066.5256226,500m,402m,1000Mi,346Mi,small
1721423069.5855834,500m,402m,1000Mi,346Mi,small
1721423072.8766096,500m,402m,1000Mi,346Mi,small
1721423075.9132135,500m,402m,1000Mi,346Mi,small
1721423078.9528224,500m,402m,1000Mi,346Mi,small
1721423082.0173974,500m,402m,1000Mi,346Mi,small
1721423085.0756483,500m,315m,1000Mi,348Mi,small
1721423088.1193347,500m,315m,1000Mi,348Mi,small
1721423091.1534014,500m,315m,1000Mi,348Mi,small
1721423094.278261,500m,315m,1000Mi,348Mi,small
1721423097.3154163,500m,315m,1000Mi,348Mi,small
1721423100.3498912,500m,315m,1000Mi,348Mi,small
1721423103.3864315,500m,315m,1000Mi,348Mi,small
