time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721417832.47375,1500m,304m,1000Mi,198Mi,nano,37.3,213.417291641235
1721417835.5245,1500m,0m,1000Mi,198Mi,nano,37.3,204.524755477905
1721417838.56733,1500m,0m,1000Mi,198Mi,nano,37.3,202.399730682373
1721417841.92316,1500m,0m,1000Mi,198Mi,nano,37.3,206.775188446045
1721417844.99353,1500m,0m,1000Mi,198Mi,nano,37.3,205.18684387207
1721417848.03903,1500m,0m,1000Mi,198Mi,nano,37.3,206.32266998291
1721417851.07924,1500m,0m,1000Mi,198Mi,nano,37.3,200.451374053955
1721417854.12806,1500m,0m,1000Mi,198Mi,nano,37.3,201.015710830688
1721417857.16922,1500m,0m,1000Mi,198Mi,nano,37.3,202.158451080322
1721417860.20922,1500m,0m,1000Mi,198Mi,nano,37.3,219.749212265015
1721417863.25241,1500m,0m,1000Mi,198Mi,nano,37.3,202.433824539185
1721417866.29469,1500m,160m,1000Mi,271Mi,nano,37.3,203.973770141602
1721417869.33816,1500m,160m,1000Mi,271Mi,nano,37.3,202.524900436401
1721417872.38354,1500m,160m,1000Mi,271Mi,nano,37.3,204.000234603882
1721417875.54025,1500m,160m,1000Mi,271Mi,nano,37.3,201.83539390564
1721417878.58774,1500m,160m,1000Mi,271Mi,nano,37.3,201.369762420654
1721417881.64068,1500m,160m,1000Mi,271Mi,nano,37.3,206.946849822998
1721417884.68062,1500m,160m,1000Mi,271Mi,nano,37.3,213.417291641235
1721417887.72281,1500m,160m,1000Mi,271Mi,nano,37.3,204.31637763977
1721417890.76958,1500m,160m,1000Mi,271Mi,nano,37.3,204.226493835449
1721417893.8264,1500m,160m,1000Mi,271Mi,nano,37.3,217.970848083496
1721417896.87258,1500m,477m,1000Mi,271Mi,nano,37.3,205.296993255615
1721417899.92036,1500m,477m,1000Mi,271Mi,nano,37.3,202.427625656128
1721417902.9578,1500m,477m,1000Mi,271Mi,nano,37.3,201.493740081787
1721417906.00712,1500m,477m,1000Mi,271Mi,nano,37.3,205.353498458862
1721417909.05208,1500m,477m,1000Mi,271Mi,nano,37.3,243.765115737915
1721417912.11436,1500m,477m,1000Mi,271Mi,nano,37.3,205.749034881592
1721417915.15705,1500m,477m,1000Mi,271Mi,nano,37.3,200.791120529175
1721417918.20999,1500m,477m,1000Mi,271Mi,nano,37.3,219.567060470581
1721417921.34697,1500m,477m,1000Mi,271Mi,nano,37.3,203.042984008789
1721417924.39258,1500m,382m,1000Mi,271Mi,nano,37.3,199.837684631348
1721417927.44028,1500m,382m,1000Mi,271Mi,nano,37.3,202.899217605591
1721417930.47848,1500m,382m,1000Mi,271Mi,nano,37.3,233.081340789795
1721417933.59093,1500m,382m,1000Mi,271Mi,nano,37.3,201.19833946228
1721417936.66534,1500m,382m,1000Mi,271Mi,nano,37.3,207.710742950439
1721417939.703,1500m,382m,1000Mi,271Mi,nano,37.3,210.999965667725
1721417942.75917,1500m,382m,1000Mi,271Mi,nano,37.3,205.94048500061
1721417945.80909,1500m,382m,1000Mi,271Mi,nano,37.3,200.403213500977
1721417948.8553,1500m,382m,1000Mi,271Mi,nano,37.3,206.064701080322
1721417951.89102,1500m,382m,1000Mi,271Mi,nano,37.3,202.004909515381
1721417954.93535,1500m,533m,1000Mi,284Mi,nano,37.3,209.118366241455
1721417957.98378,1500m,533m,1000Mi,284Mi,nano,37.3,203.213930130005
1721417961.03064,1500m,533m,1000Mi,284Mi,nano,37.3,201.077222824097
1721417964.09311,1500m,533m,1000Mi,284Mi,nano,37.3,211.719512939453
1721417967.1442,1500m,533m,1000Mi,284Mi,nano,37.3,208.332538604736
1721417970.18304,1500m,533m,1000Mi,284Mi,nano,37.3,206.770658493042
1721417973.22469,1500m,533m,1000Mi,284Mi,nano,37.3,200.23775100708
1721417976.26256,1500m,533m,1000Mi,284Mi,nano,37.3,207.211971282959
1721417979.31077,1500m,533m,1000Mi,284Mi,nano,37.3,207.592248916626
1721417982.35862,1500m,533m,1000Mi,284Mi,nano,37.3,206.637144088745
1721417985.3984,1500m,266m,1000Mi,280Mi,nano,37.3,208.276748657227
1721417988.43734,1500m,266m,1000Mi,280Mi,nano,37.3,205.852746963501
1721417991.4824,1500m,266m,1000Mi,280Mi,nano,37.3,214.671850204468
1721417994.52759,1500m,266m,1000Mi,280Mi,nano,37.3,211.401700973511
1721417997.56657,1500m,266m,1000Mi,280Mi,nano,37.3,209.307670593262
1721418000.61206,1500m,266m,1000Mi,280Mi,nano,37.3,210.928201675415
1721418003.65358,1500m,266m,1000Mi,280Mi,nano,37.3,248.760461807251
1721418006.70058,1500m,266m,1000Mi,280Mi,nano,37.3,209.893465042114
1721418009.74315,1500m,266m,1000Mi,280Mi,nano,37.3,213.101625442505
1721418012.78289,1500m,266m,1000Mi,280Mi,nano,37.3,206.698894500732
1721418015.82339,1500m,644m,1000Mi,281Mi,nano,37.3,211.43913269043
1721418018.86862,1500m,644m,1000Mi,281Mi,nano,37.3,203.295230865479
1721418021.92158,1500m,644m,1000Mi,281Mi,nano,37.3,202.889442443848
1721418024.99446,1500m,644m,1000Mi,281Mi,nano,37.3,200.293064117432
1721418028.03881,1500m,644m,1000Mi,281Mi,nano,37.3,215.270280838013
1721418031.08739,1500m,644m,1000Mi,281Mi,nano,37.3,253.931283950806
1721418034.13007,1500m,644m,1000Mi,281Mi,nano,37.3,207.595109939575
1721418037.17441,1500m,644m,1000Mi,281Mi,nano,37.3,189.236879348755
1721418040.2175,1500m,644m,1000Mi,281Mi,nano,37.3,208.29963684082
1721418043.31165,1500m,644m,1000Mi,281Mi,nano,37.3,200.872182846069
1721418046.35426,1500m,508m,1000Mi,280Mi,nano,37.3,200.336694717407
1721418049.40102,1500m,508m,1000Mi,280Mi,nano,37.3,201.99704170227
1721418052.43683,1500m,508m,1000Mi,280Mi,nano,37.3,204.386949539185
1721418055.62481,1500m,508m,1000Mi,280Mi,nano,37.3,215.886354446411
1721418058.668,1500m,508m,1000Mi,280Mi,nano,37.3,205.132961273193
1721418061.71313,1500m,508m,1000Mi,280Mi,nano,37.3,213.382244110107
1721418064.75971,1500m,508m,1000Mi,280Mi,nano,37.3,211.377859115601
1721418067.80653,1500m,508m,1000Mi,280Mi,nano,37.3,201.438665390015
1721418070.85062,1500m,508m,1000Mi,280Mi,nano,37.3,208.34755897522
1721418073.89342,1500m,508m,1000Mi,280Mi,nano,37.3,200.973033905029
