Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751285083,6925,3575808,1006506273,1.32459998130798
1751285084,266652,120463360,1011303990,0.637443780899048
1751285085,522649,220614656,1020226209,0.697022676467896
1751285086,745633,287707136,1037920255,0.687413454055786
1751285087,948769,332161024,1043101150,0.701973915100098
1751285088,1254021,369192960,1056442485,0.699202299118042
1751285089,1559080,412119040,1063328454,0.61478853225708
1751285090,1864407,450502656,1070638372,0.698024272918701
1751285091,2176425,487555072,1077471057,0.774816036224365
1751285092,2475026,557752320,1085035064,0.704225778579712
1751285093,2762712,612806656,1092024548,0.703587055206299
1751285094,3076717,686772224,1099525261,0.698936462402344
1751285095,3377070,743882752,1107212741,0.703809976577759
1751285096,3675780,758050816,1114154069,0.786996364593506
1751285097,3983605,765161472,1121926937,0.711726665496826
1751285098,4293283,766009344,1129047524,0.696630239486694
1751285099,4595295,767799296,1135563987,0.702824115753174
1751285100,4895162,768536576,1141640937,0.700674772262573
1751285101,5195278,769552384,1147664542,0.692359209060669
1751285102,5495293,770445312,1153563147,0.783181190490723
1751285103,5795087,771067904,1159917074,0.699052572250366
1751285104,6107398,772313088,1165689886,0.621278762817383
1751285105,6417196,773259264,1171840689,0.717358589172363
1751285106,6725488,774934528,1178195775,0.787455797195435
1751285107,7025316,775725056,1184111775,0.710828542709351
1751285108,7325549,776351744,1191273134,0.783775806427002
1751285109,7624626,777531392,1197960373,0.705301284790039
1751285110,7925269,778280960,1204460295,0.701185464859009
1751285111,8229778,779431936,1210413100,0.70320200920105
1751285112,8540166,780640256,1216301390,0.699433326721191
1751285113,8849399,781582336,1222646711,0.687963962554932
1751285114,9154931,782807040,1229805811,0.704407453536987
1751285115,9455572,785371136,1236255807,0.790342807769775
1751285116,9754772,787738624,1243532461,0.706128120422363
1751285117,10055575,790425600,1250532382,0.695996284484863
1751285118,10355059,791523328,1257587173,0.705492258071899
1751285119,10655523,792788992,1264991817,0.693416357040405
1751285120,10962582,794337280,1271757974,0.704299449920654
1751285121,11271764,794284032,1278654319,0.77395224571228
1751285122,11579981,797601792,1285206609,0.714061498641968
1751285123,11884700,798613504,1291473561,0.699848651885986
1751285124,12184719,800174080,1298111178,0.703909635543823
1751285125,12485194,802394112,1305785963,0.700599670410156
1751285126,12784702,803692544,1313640252,0.693935871124268
1751285128,13114975,803692544,1317220016,2.49502921104431
1751285129,13415416,804929536,1322131747,0.706057786941528
1751285130,13725321,806203392,1329345778,0.782529354095459
1751285131,14034633,807047168,1336864985,0.70201563835144
1751285132,14343513,808861696,1344092933,0.702454328536987
1751285133,14644721,810303488,1351338886,0.690301179885864
1751285134,14945593,812638208,1357828616,0.705962657928467
1751285135,15245294,813953024,1364266649,0.709529876708984
1751285136,15544678,815034368,1371211821,0.695025205612183
1751285137,15845337,816037888,1378438670,0.696980714797974
1751285138,16152971,818790400,1385708427,0.701479434967041
1751285139,16462030,819798016,1392445104,0.787030696868897
1751285140,16771149,821346304,1399177448,0.696807384490967
1751285141,17074641,823595008,1406043214,0.689085960388184
