cpu_request,cpu_usage,memory_request,memory_usage
500m,273m,1000Mi,199Mi
500m,273m,1000Mi,199Mi
500m,273m,1000Mi,199Mi
500m,273m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,77m,1000Mi,261Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,393m,1000Mi,280Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,396m,1000Mi,285Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,395m,1000Mi,272Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,391m,1000Mi,282Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,305m,1000Mi,286Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,388m,1000Mi,288Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,340m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,0m,1000Mi,271Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,322m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,392m,1000Mi,277Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
500m,13m,1000Mi,272Mi
