time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721397102.77652,1000m,313m,1000Mi,415Mi,large
1721397105.80948,1000m,313m,1000Mi,415Mi,large
1721397108.8428,1000m,313m,1000Mi,415Mi,large
1721397111.88191,1000m,313m,1000Mi,415Mi,large
1721397114.92653,1000m,313m,1000Mi,415Mi,large
1721397117.97012,1000m,0m,1000Mi,415Mi,large
1721397121.01636,1000m,0m,1000Mi,415Mi,large
1721397124.06099,1000m,0m,1000Mi,415Mi,large
1721397127.09912,1000m,0m,1000Mi,415Mi,large
1721397130.21757,1000m,0m,1000Mi,415Mi,large
1721397133.25928,1000m,0m,1000Mi,415Mi,large
1721397136.30231,1000m,0m,1000Mi,415Mi,large
1721397139.34875,1000m,0m,1000Mi,415Mi,large
1721397142.39432,1000m,0m,1000Mi,415Mi,large
1721397145.44812,1000m,502m,1000Mi,583Mi,large
1721397148.49717,1000m,502m,1000Mi,583Mi,large
1721397151.61653,1000m,502m,1000Mi,583Mi,large
1721397154.65747,1000m,502m,1000Mi,583Mi,large
1721397157.70355,1000m,502m,1000Mi,583Mi,large
1721397160.7471,1000m,502m,1000Mi,583Mi,large
1721397163.82946,1000m,502m,1000Mi,583Mi,large
1721397166.8699,1000m,502m,1000Mi,583Mi,large
1721397169.92355,1000m,502m,1000Mi,583Mi,large
1721397172.95989,1000m,502m,1000Mi,583Mi,large
1721397176.005,1000m,879m,1000Mi,583Mi,large
1721397179.07517,1000m,879m,1000Mi,583Mi,large
1721397182.11532,1000m,879m,1000Mi,583Mi,large
1721397185.15582,1000m,879m,1000Mi,583Mi,large
1721397188.20358,1000m,879m,1000Mi,583Mi,large
1721397191.24988,1000m,879m,1000Mi,583Mi,large
1721397194.28545,1000m,879m,1000Mi,583Mi,large
1721397197.62437,1000m,879m,1000Mi,583Mi,large
1721397200.66457,1000m,879m,1000Mi,583Mi,large
1721397203.70435,1000m,879m,1000Mi,583Mi,large
1721397206.74019,1000m,888m,1000Mi,578Mi,large
1721397209.8504,1000m,888m,1000Mi,578Mi,large
1721397213.06166,1000m,888m,1000Mi,578Mi,large
1721397216.11172,1000m,888m,1000Mi,578Mi,large
1721397219.14931,1000m,888m,1000Mi,578Mi,large
1721397222.19576,1000m,888m,1000Mi,578Mi,large
1721397225.23175,1000m,888m,1000Mi,578Mi,large
1721397228.27017,1000m,888m,1000Mi,578Mi,large
1721397231.30704,1000m,888m,1000Mi,578Mi,large
1721397234.34687,1000m,888m,1000Mi,578Mi,large
1721397237.38878,1000m,598m,1000Mi,595Mi,large
1721397240.4215,1000m,598m,1000Mi,595Mi,large
1721397243.45358,1000m,598m,1000Mi,595Mi,large
1721397246.52178,1000m,598m,1000Mi,595Mi,large
1721397249.56341,1000m,598m,1000Mi,595Mi,large
1721397252.60164,1000m,598m,1000Mi,595Mi,large
1721397255.63905,1000m,598m,1000Mi,595Mi,large
1721397258.6792,1000m,598m,1000Mi,595Mi,large
1721397261.71645,1000m,598m,1000Mi,595Mi,large
1721397264.75558,1000m,598m,1000Mi,595Mi,large
1721397267.7974,1000m,871m,1000Mi,552Mi,large
1721397270.84032,1000m,871m,1000Mi,552Mi,large
1721397273.88143,1000m,871m,1000Mi,552Mi,large
1721397276.91244,1000m,871m,1000Mi,552Mi,large
1721397279.95447,1000m,871m,1000Mi,552Mi,large
1721397282.9955,1000m,871m,1000Mi,552Mi,large
1721397286.03534,1000m,871m,1000Mi,552Mi,large
1721397289.07222,1000m,871m,1000Mi,552Mi,large
1721397292.11501,1000m,871m,1000Mi,552Mi,large
1721397295.15725,1000m,871m,1000Mi,552Mi,large
1721397298.18965,1000m,914m,1000Mi,596Mi,large
1721397301.23402,1000m,914m,1000Mi,596Mi,large
1721397304.27311,1000m,914m,1000Mi,596Mi,large
1721397307.47158,1000m,914m,1000Mi,596Mi,large
1721397310.50994,1000m,914m,1000Mi,596Mi,large
1721397313.70267,1000m,914m,1000Mi,596Mi,large
1721397316.73988,1000m,914m,1000Mi,596Mi,large
1721397320.85629,1000m,914m,1000Mi,596Mi,large
1721397323.89654,1000m,914m,1000Mi,596Mi,large
1721397326.93117,1000m,826m,1000Mi,541Mi,large
1721397330.00596,1000m,826m,1000Mi,541Mi,large
1721397333.05531,1000m,826m,1000Mi,541Mi,large
1721397336.10075,1000m,826m,1000Mi,541Mi,large
1721397339.13847,1000m,826m,1000Mi,541Mi,large
1721397342.17817,1000m,826m,1000Mi,541Mi,large
1721397345.22702,1000m,826m,1000Mi,541Mi,large
1721397348.26507,1000m,826m,1000Mi,541Mi,large
1721397351.29785,1000m,826m,1000Mi,541Mi,large
1721397354.34064,1000m,826m,1000Mi,541Mi,large
1721397357.38882,1000m,830m,1000Mi,599Mi,large
1721397360.4232,1000m,830m,1000Mi,599Mi,large
1721397363.46299,1000m,830m,1000Mi,599Mi,large
1721397366.50245,1000m,830m,1000Mi,599Mi,large
1721397369.5496,1000m,830m,1000Mi,599Mi,large
1721397372.58886,1000m,830m,1000Mi,599Mi,large
1721397375.6254,1000m,830m,1000Mi,599Mi,large
1721397378.66313,1000m,830m,1000Mi,599Mi,large
1721397381.70979,1000m,830m,1000Mi,599Mi,large
1721397384.76093,1000m,830m,1000Mi,599Mi,large
1721397387.80383,1000m,912m,1000Mi,599Mi,large
1721397390.84656,1000m,912m,1000Mi,599Mi,large
1721397393.8926,1000m,912m,1000Mi,599Mi,large
1721397396.93932,1000m,912m,1000Mi,599Mi,large
1721397399.98083,1000m,912m,1000Mi,599Mi,large
1721397403.05152,1000m,912m,1000Mi,599Mi,large
1721397406.09705,1000m,912m,1000Mi,599Mi,large
1721397409.13168,1000m,912m,1000Mi,599Mi,large
1721397412.17481,1000m,912m,1000Mi,599Mi,large
1721397415.21922,1000m,912m,1000Mi,599Mi,large
1721397418.26381,1000m,912m,1000Mi,584Mi,large
1721397421.31047,1000m,912m,1000Mi,584Mi,large
1721397424.34997,1000m,912m,1000Mi,584Mi,large
1721397427.48471,1000m,912m,1000Mi,584Mi,large
1721397430.52568,1000m,912m,1000Mi,584Mi,large
1721397433.75047,1000m,912m,1000Mi,584Mi,large
1721397436.79129,1000m,912m,1000Mi,584Mi,large
1721397439.89428,1000m,912m,1000Mi,584Mi,large
1721397442.94013,1000m,912m,1000Mi,584Mi,large
1721397445.97935,1000m,921m,1000Mi,588Mi,large
1721397449.09421,1000m,921m,1000Mi,588Mi,large
1721397452.13603,1000m,921m,1000Mi,588Mi,large
1721397455.17746,1000m,921m,1000Mi,588Mi,large
1721397458.20994,1000m,921m,1000Mi,588Mi,large
1721397461.24814,1000m,921m,1000Mi,588Mi,large
1721397464.28856,1000m,921m,1000Mi,588Mi,large
1721397467.32294,1000m,921m,1000Mi,588Mi,large
1721397470.36455,1000m,921m,1000Mi,588Mi,large
1721397473.40396,1000m,921m,1000Mi,588Mi,large
1721397476.44224,1000m,922m,1000Mi,557Mi,large
1721397479.4775,1000m,922m,1000Mi,557Mi,large
1721397482.51907,1000m,922m,1000Mi,557Mi,large
1721397485.56163,1000m,922m,1000Mi,557Mi,large
1721397488.62043,1000m,922m,1000Mi,557Mi,large
1721397491.66125,1000m,922m,1000Mi,557Mi,large
1721397494.70206,1000m,922m,1000Mi,557Mi,large
1721397497.73649,1000m,922m,1000Mi,557Mi,large
1721397500.78353,1000m,922m,1000Mi,557Mi,large
1721397503.8332,1000m,922m,1000Mi,557Mi,large
1721397506.87346,1000m,908m,1000Mi,584Mi,large
1721397509.91697,1000m,908m,1000Mi,584Mi,large
1721397512.96635,1000m,908m,1000Mi,584Mi,large
1721397516.06992,1000m,908m,1000Mi,584Mi,large
1721397519.10876,1000m,908m,1000Mi,584Mi,large
1721397522.1464,1000m,908m,1000Mi,584Mi,large
1721397525.19303,1000m,908m,1000Mi,584Mi,large
1721397528.23107,1000m,908m,1000Mi,584Mi,large
1721397531.31895,1000m,908m,1000Mi,584Mi,large
1721397534.35907,1000m,908m,1000Mi,584Mi,large
1721397537.41727,1000m,924m,1000Mi,595Mi,large
1721397540.4591,1000m,924m,1000Mi,595Mi,large
1721397543.50077,1000m,924m,1000Mi,595Mi,large
1721397546.53602,1000m,924m,1000Mi,595Mi,large
1721397549.58037,1000m,924m,1000Mi,595Mi,large
1721397552.61619,1000m,924m,1000Mi,595Mi,large
1721397555.65843,1000m,924m,1000Mi,595Mi,large
1721397558.69501,1000m,924m,1000Mi,595Mi,large
1721397561.78539,1000m,924m,1000Mi,595Mi,large
1721397564.82608,1000m,924m,1000Mi,595Mi,large
1721397567.86689,1000m,912m,1000Mi,584Mi,large
1721397570.96586,1000m,912m,1000Mi,584Mi,large
1721397574.01327,1000m,912m,1000Mi,584Mi,large
1721397577.05561,1000m,912m,1000Mi,584Mi,large
1721397580.09944,1000m,912m,1000Mi,584Mi,large
1721397583.13772,1000m,912m,1000Mi,584Mi,large
