time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721329194.064047,1500m,182m,1000Mi,301Mi,medium
1721329197.1062841,1500m,182m,1000Mi,301Mi,medium
1721329200.160115,1500m,182m,1000Mi,301Mi,medium
1721329203.2136,1500m,182m,1000Mi,301Mi,medium
1721329206.2613952,1500m,182m,1000Mi,301Mi,medium
1721329209.2989986,1500m,182m,1000Mi,301Mi,medium
1721329212.3377948,1500m,0m,1000Mi,301Mi,medium
1721329215.3795106,1500m,0m,1000Mi,301Mi,medium
1721329218.4277415,1500m,0m,1000Mi,301Mi,medium
1721329221.4697156,1500m,0m,1000Mi,301Mi,medium
1721329224.5147965,1500m,0m,1000Mi,301Mi,medium
1721329227.5529742,1500m,0m,1000Mi,301Mi,medium
1721329230.7067664,1500m,0m,1000Mi,301Mi,medium
1721329233.7462177,1500m,0m,1000Mi,301Mi,medium
1721329236.7843516,1500m,0m,1000Mi,301Mi,medium
1721329239.8668404,1500m,0m,1000Mi,301Mi,medium
1721329242.9133596,1500m,343m,1000Mi,429Mi,medium
1721329245.9608214,1500m,343m,1000Mi,429Mi,medium
1721329248.9950466,1500m,343m,1000Mi,429Mi,medium
1721329252.0275638,1500m,343m,1000Mi,429Mi,medium
1721329255.115357,1500m,343m,1000Mi,429Mi,medium
1721329258.1566794,1500m,343m,1000Mi,429Mi,medium
1721329261.2005079,1500m,343m,1000Mi,429Mi,medium
1721329264.251348,1500m,343m,1000Mi,429Mi,medium
1721329267.2973578,1500m,343m,1000Mi,429Mi,medium
1721329270.3349104,1500m,343m,1000Mi,429Mi,medium
1721329273.3789434,1500m,805m,1000Mi,429Mi,medium
1721329276.4454348,1500m,805m,1000Mi,429Mi,medium
1721329279.5548198,1500m,805m,1000Mi,429Mi,medium
1721329282.5953064,1500m,805m,1000Mi,429Mi,medium
1721329285.6330402,1500m,805m,1000Mi,429Mi,medium
1721329288.725054,1500m,805m,1000Mi,429Mi,medium
1721329291.7638505,1500m,805m,1000Mi,429Mi,medium
1721329294.805154,1500m,805m,1000Mi,429Mi,medium
1721329297.8481529,1500m,805m,1000Mi,429Mi,medium
