time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721316169.7862124,500m,303m,1000Mi,199Mi,nano
1721316172.8261948,500m,303m,1000Mi,199Mi,nano
1721316175.8653336,500m,303m,1000Mi,199Mi,nano
1721316178.9082944,500m,303m,1000Mi,199Mi,nano
1721316182.00064,500m,303m,1000Mi,199Mi,nano
1721316185.0550668,500m,303m,1000Mi,199Mi,nano
1721316188.0928423,500m,303m,1000Mi,199Mi,nano
1721316191.1332214,500m,49m,1000Mi,231Mi,nano
1721316194.1814427,500m,49m,1000Mi,231Mi,nano
1721316197.2214203,500m,49m,1000Mi,231Mi,nano
1721316200.3161213,500m,49m,1000Mi,231Mi,nano
1721316203.3573253,500m,49m,1000Mi,231Mi,nano
1721316206.4717898,500m,49m,1000Mi,231Mi,nano
1721316209.5137167,500m,49m,1000Mi,231Mi,nano
1721316212.5479662,500m,49m,1000Mi,231Mi,nano
1721316215.5831192,500m,49m,1000Mi,231Mi,nano
1721316218.6257186,500m,49m,1000Mi,231Mi,nano
1721316221.6725297,500m,412m,1000Mi,282Mi,nano
1721316224.7186737,500m,412m,1000Mi,282Mi,nano
1721316227.7629461,500m,412m,1000Mi,282Mi,nano
1721316230.808276,500m,412m,1000Mi,282Mi,nano
1721316233.8533618,500m,412m,1000Mi,282Mi,nano
1721316236.885607,500m,412m,1000Mi,282Mi,nano
1721316239.934418,500m,412m,1000Mi,282Mi,nano
1721316242.982106,500m,412m,1000Mi,282Mi,nano
1721316246.0290267,500m,412m,1000Mi,282Mi,nano
1721316249.0718985,500m,412m,1000Mi,282Mi,nano
1721316252.1124618,500m,258m,1000Mi,272Mi,nano
1721316255.157557,500m,258m,1000Mi,272Mi,nano
1721316258.1980796,500m,258m,1000Mi,272Mi,nano
1721316261.2434413,500m,258m,1000Mi,272Mi,nano
1721316264.2875772,500m,258m,1000Mi,272Mi,nano
1721316267.3355103,500m,258m,1000Mi,272Mi,nano
1721316270.3732553,500m,258m,1000Mi,272Mi,nano
1721316273.419624,500m,258m,1000Mi,272Mi,nano
1721316276.4597538,500m,258m,1000Mi,272Mi,nano
1721316279.5056365,500m,258m,1000Mi,272Mi,nano
1721316282.5506792,500m,84m,1000Mi,273Mi,nano
1721316285.5905566,500m,84m,1000Mi,273Mi,nano
1721316288.6989996,500m,84m,1000Mi,273Mi,nano
1721316291.7485847,500m,84m,1000Mi,273Mi,nano
1721316294.7960055,500m,84m,1000Mi,273Mi,nano
1721316297.839486,500m,84m,1000Mi,273Mi,nano
1721316300.882855,500m,84m,1000Mi,273Mi,nano
1721316303.9291835,500m,84m,1000Mi,273Mi,nano
1721316306.9722862,500m,84m,1000Mi,273Mi,nano
1721316310.0343597,500m,84m,1000Mi,273Mi,nano
1721316313.0797172,500m,327m,1000Mi,277Mi,nano
1721316316.139406,500m,327m,1000Mi,277Mi,nano
1721316319.38432,500m,327m,1000Mi,277Mi,nano
1721316322.4960182,500m,327m,1000Mi,277Mi,nano
1721316325.5378969,500m,327m,1000Mi,277Mi,nano
1721316328.627963,500m,327m,1000Mi,277Mi,nano
1721316331.6709635,500m,327m,1000Mi,277Mi,nano
1721316334.7767525,500m,327m,1000Mi,277Mi,nano
1721316337.8160114,500m,327m,1000Mi,277Mi,nano
1721316341.0976436,500m,258m,1000Mi,287Mi,nano
1721316344.1370597,500m,258m,1000Mi,287Mi,nano
1721316347.1809819,500m,258m,1000Mi,287Mi,nano
1721316350.2262084,500m,258m,1000Mi,287Mi,nano
1721316353.2785823,500m,258m,1000Mi,287Mi,nano
1721316356.3171647,500m,258m,1000Mi,287Mi,nano
1721316359.3673966,500m,258m,1000Mi,287Mi,nano
1721316362.4058363,500m,258m,1000Mi,287Mi,nano
1721316365.4501066,500m,258m,1000Mi,287Mi,nano
1721316368.4880657,500m,258m,1000Mi,287Mi,nano
1721316371.522738,500m,150m,1000Mi,272Mi,nano
1721316374.5603077,500m,150m,1000Mi,272Mi,nano
1721316377.7088983,500m,150m,1000Mi,272Mi,nano
1721316380.7447166,500m,150m,1000Mi,272Mi,nano
1721316383.7998383,500m,150m,1000Mi,272Mi,nano
1721316386.8631048,500m,150m,1000Mi,272Mi,nano
1721316389.9175708,500m,150m,1000Mi,272Mi,nano
1721316392.9607892,500m,150m,1000Mi,272Mi,nano
1721316395.9995086,500m,150m,1000Mi,272Mi,nano
1721316399.044603,500m,150m,1000Mi,272Mi,nano
1721316402.092693,500m,317m,1000Mi,274Mi,nano
1721316405.1268344,500m,317m,1000Mi,274Mi,nano
1721316408.1730287,500m,317m,1000Mi,274Mi,nano
1721316411.205423,500m,317m,1000Mi,274Mi,nano
1721316414.5981154,500m,317m,1000Mi,274Mi,nano
